Pickup_date	pickup_hour	Count
2014-02-10	19	24711
2014-02-12	20	25617
2014-02-01	5	5768
2014-02-01	19	32221
2014-02-07	15	21283
2014-02-15	13	12328
2014-02-14	1	4085
2014-02-19	5	2033
2014-02-20	5	229
2014-02-14	13	11229
2014-02-20	1	1344
2014-02-06	18	28645
2014-02-08	15	26522
2014-02-06	4	3014
2014-02-26	6	3634
2014-02-25	4	936
2014-02-22	11	1
2014-02-18	19	7581
2014-02-16	11	10746
2014-02-18	18	13537
2014-02-02	6	4811
2014-02-06	11	22565
2014-02-12	13	17987
2014-02-11	10	20792
2014-02-13	23	9240
2014-02-13	12	8360
2014-02-04	7	22245
2014-02-20	6	73
2014-02-17	12	10821
2014-02-27	2	3873
2014-02-28	6	4097
2014-02-18	9	11818
2014-02-21	3	1
2014-02-18	20	555
2014-02-07	9	26085
2014-02-08	23	33549
2014-02-13	15	9246
2014-02-15	9	7582
2014-02-27	16	15095
2014-02-19	7	10692
2014-02-23	12	11720
2014-02-11	3	1757
2014-02-16	1	13239
2014-02-06	15	21257
2014-02-08	8	12552
2014-02-05	7	16538
2014-02-05	10	19732
2014-02-14	5	1940
2014-02-15	22	15045
2014-02-03	5	5486
2014-02-28	18	8705
2014-02-17	21	10467
2014-02-16	0	15085
2014-02-24	5	1390
2014-02-15	7	3376
