Pickup_date	Count
2015-10-01	54340
2015-10-02	65765
2014-10-03	52515
2013-12-12	19457
2014-12-26	37446
2014-06-18	40022
2014-06-12	44133
2015-05-12	47026
2016-09-03	41460
2016-10-16	42091
2015-07-23	47678
2016-10-22	52160
2014-04-03	41881
2016-05-14	67398
2016-06-23	45032
2014-12-22	46781
2014-08-19	33753
2014-11-02	55276
2016-12-04	39922
2016-08-02	37003
2016-07-27	38636
2015-12-14	45771
2015-05-02	81574
2016-04-12	44189
2015-07-20	43366
2016-02-13	70652
2015-03-23	46717
2016-02-26	60253
2014-10-07	38985
2015-03-04	51819
2016-09-17	50595
2016-05-10	41134
2015-04-17	60053
2015-12-09	46911
2014-01-02	19061
2016-05-17	43709
2015-08-09	54309
2014-07-24	38746
2013-08-09	92
2015-10-19	42702
2015-03-14	71314
2014-12-23	49514
2014-11-29	49864
2016-11-27	33876
2015-02-23	53011
2015-11-03	40379
2016-10-13	38542
2014-01-14	22052
2016-04-03	56100
2014-08-20	36767
2015-06-04	53318
2014-02-17	29656
2014-06-24	36333
2014-10-25	64179
2015-07-28	42197
2016-12-06	39221
2014-04-07	39271
2013-11-26	13869
2015-02-27	68585
2016-02-02	42445
2014-01-20	20593
2014-05-20	37218
2016-11-26	36675
2014-05-05	36845
2015-06-28	54632
2013-08-16	271
2014-12-17	48694
2016-03-10	48983
2014-08-04	34874
2015-02-13	70191
2016-06-24	50677
2014-11-24	41439
2016-12-14	38574
2016-11-02	35388
2014-09-12	51488
2014-01-13	20853
2013-12-03	14478
2015-03-17	50346
2015-10-09	59289
2013-11-24	14769
2015-04-12	60888
2014-11-11	36090
2014-04-30	47755
2015-06-03	50311
2014-07-17	39778
2016-09-19	34034
2016-02-07	56269
2015-02-26	56717
2014-02-05	25848
2014-01-31	38288
2016-10-10	28695
2013-12-21	25938
2016-08-11	42518
2016-01-17	52803
2015-06-07	64186
2014-04-14	34652
2013-09-23	1975
2014-01-09	23483
2014-07-01	38222
2015-07-22	44867
2016-10-19	35911
2015-11-20	59936
2015-09-24	40162
2016-06-09	45042
2014-09-22	37175
2016-01-12	41124
2013-09-21	2525
2014-07-16	36498
2013-10-15	3748
2015-03-26	53254
2016-11-10	38427
2016-07-11	34316
2014-05-04	48157
2014-08-26	34261
2014-06-10	36966
2015-10-22	48603
2014-12-08	46172
2013-12-05	17041
2013-12-27	20549
2014-02-08	45302
2015-05-24	57034
2014-09-24	40411
2013-09-27	3111
2016-05-04	46171
2015-01-05	41923
2014-01-25	36265
2016-01-08	50987
2015-12-16	51111
2015-06-21	60339
2015-07-26	55769
2014-03-27	41230
2015-07-04	53768
2014-05-17	57485
2016-02-17	45466
2015-08-26	40569
2015-05-28	52336
2016-02-23	49523
2013-10-21	5497
2014-09-08	37058
2014-08-22	47207
2013-08-28	539
2015-08-12	42982
2013-10-16	4387
2014-05-15	43662
2015-02-19	59130
2016-11-05	49691
2016-07-18	37181
2015-02-02	42210
2014-11-23	54743
2014-03-22	52977
2014-10-16	46818
2013-11-30	16284
2015-11-10	47552
2015-01-04	41602
2014-12-19	67370
2014-10-31	64013
2013-10-01	2635
2013-10-26	9444
2015-09-13	55514
2014-07-09	36545
2016-12-10	52296
2016-09-10	50782
2015-04-26	62190
2014-10-22	48843
2014-03-23	44532
2015-09-30	46608
2016-03-28	41635
2015-02-06	62135
2016-05-30	37049
2016-11-29	34598
2015-10-29	49701
2015-04-30	53407
2016-04-15	57218
2015-07-09	49217
2016-04-28	45585
2015-03-20	61968
2015-01-16	59926
2016-12-09	48307
2015-05-31	63944
2016-01-30	65415
2015-08-13	47162
2014-03-03	35235
2016-04-24	52698
2016-03-15	42507
2016-04-23	62011
2014-06-17	37818
2014-05-08	43893
2014-04-22	34024
2014-02-11	34431
2015-02-15	64362
2013-08-15	193
2015-09-01	41553
2014-10-30	48538
2016-12-16	51133
2016-06-26	51363
2014-07-05	46927
2014-10-13	35423
2016-03-08	43023
2014-12-05	64589
2014-05-22	43652
2014-11-07	59204
2015-10-31	72500
2015-09-27	54856
2015-10-04	51988
2014-08-11	33849
2015-01-19	35777
2014-03-01	49572
2015-11-13	60519
2014-01-30	31852
2013-11-28	15887
2015-03-08	57377
2016-03-06	53538
2016-05-19	48593
2016-07-07	39134
2013-11-19	12657
2014-03-25	34753
2015-09-08	42998
2016-02-24	49668
2015-04-21	44991
2013-10-03	3457
2016-07-01	48322
2016-07-23	54436
2015-06-30	42981
2015-07-02	51527
2015-08-07	53776
2016-02-10	47315
2014-08-25	34144
2016-01-22	57552
2014-06-27	48179
2016-01-02	46958
2015-02-05	55008
2013-09-03	750
2014-06-28	56709
2014-03-06	40510
2015-02-16	46933
2014-06-04	40927
2016-09-06	32289
2014-07-25	44485
2016-04-05	47499
2016-03-17	50797
2015-07-16	46468
2016-01-31	52288
2015-05-01	66187
2016-08-17	36971
2015-10-23	58747
2016-09-21	35084
2016-06-21	39289
2015-01-21	43276
2014-05-03	62233
2015-04-10	59253
2015-01-02	43410
2016-08-24	34444
2016-10-08	53161
2014-09-17	39602
2016-02-05	55521
2014-09-29	37704
2016-04-06	46256
2015-12-13	58207
2015-06-13	69740
2015-02-18	48362
2014-03-28	46064
2015-01-13	45229
2013-12-19	22109
2016-05-24	40960
2013-09-11	1141
2015-01-12	40867
2014-02-09	34875
2016-10-28	46910
2015-11-29	47662
2016-12-08	39861
2016-03-30	46051
2016-06-03	54391
2016-06-30	42425
2014-12-18	56503
2015-03-07	73297
2016-07-06	30339
2016-07-20	37829
2014-11-08	67691
2015-07-19	60375
2014-07-30	36912
2015-11-18	45494
2014-01-16	26003
2013-10-10	4307
2013-10-25	8841
2014-11-06	48261
2016-03-13	51739
2015-05-26	44578
2013-11-12	10951
2016-12-24	40745
2015-08-11	40248
2016-03-05	68122
2016-03-07	41294
2016-06-28	37497
2014-04-26	60442
2016-01-23	11031
2014-04-17	42568
2013-12-29	20706
2016-10-05	35949
2015-12-21	45437
2016-03-12	67200
2013-09-30	2427
2014-09-11	42897
2016-02-06	64640
2015-12-03	51587
2015-06-12	62623
2014-10-06	37580
2014-03-10	32757
2015-03-10	51179
2016-05-20	55470
2014-07-29	32981
2014-04-28	34824
2015-07-25	66372
2016-01-04	43740
2013-11-14	12282
2014-12-29	37979
2014-04-02	37709
2014-01-23	30249
2014-04-09	38788
2016-07-05	36540
2014-10-18	63747
2016-06-12	48480
2015-10-05	40960
2016-10-31	35727
2015-05-15	63952
2014-09-07	48649
2016-12-28	30525
2015-05-04	45273
2016-11-13	40236
2015-11-24	46597
2015-03-27	63319
2014-10-11	59921
2015-10-10	63203
2016-02-14	57902
2014-02-20	35499
2015-07-14	41019
2016-11-12	48187
2016-05-29	50109
2015-07-03	51202
2015-02-12	54720
2016-06-11	59278
2016-09-28	36812
2015-09-11	56693
2015-12-28	38612
2013-11-17	12375
2014-02-10	29984
2014-05-23	52898
2013-08-26	422
2014-06-20	49611
